Index,TimeZone,Name,UTC,Abbr
225,"(GMT+08:00) W. Australia Standard Time",Perth,UTC+08:00,AWST
227,"(GMT+08:00) North Asia East Standard Time","Irkutsk, Ulaanbaatar",UTC+08:00,IRKT
230,"(GMT+09:00) Korea Standard Time",Seoul,UTC+09:00,KST
235,"(GMT+09:00) Tokyo Standard Time","Osaka, Sapporo, Tokyo",UTC+09:00,JST
240,"(GMT+09:00) Yakutsk Standard Time",Yakutsk,UTC+09:00,YAKT
245,"(GMT+09:30) A.U.S. Central Standard Time",Darwin,UTC+09:30,ACST
250,"(GMT+09:30) Cen. Australia Standard Time",Adelaide,UTC+09:30,ACST
255,"(GMT+10:00) A.U.S. Eastern Standard Time","Canberra, Melbourne, Sydney",UTC+10:00,AEST
260,"(GMT+10:00) E. Australia Standard Time",Brisbane,UTC+10:00,AEST
265,"(GMT+10:00) Tasmania Standard Time",Hobart,UTC+10:00,AEST
270,"(GMT+10:00) Vladivostok Standard Time",Vladivostok,UTC+10:00,VLAT
275,"(GMT+10:00) West Pacific Standard Time","Guam, Port Moresby",UTC+10:00,GST
280,"(GMT+11:00) Central Pacific Standard Time","Magadan, Solomon Islands, New Caledonia",UTC+11:00,MAGT
285,"(GMT+12:00) Fiji Islands Standard Time","Fiji Islands, Kamchatka, Marshall Islands",UTC+12:00,FJT
290,"(GMT+12:00) New Zealand Standard Time","Auckland, Wellington",UTC+12:00,NZST
300,"(GMT+13:00) Tonga Standard Time",Nuku'alofa,UTC+13:00,TOT
